ENV,GEN,REP,GY,HM
E1,G1,1,2.167,44.93
E1,G1,2,2.50304,46.9
E1,G1,3,2.42732,47.75
E1,G2,1,3.2075,45.2
E1,G2,2,2.9329,45.3
E1,G2,3,2.56484,45.49
E1,G3,1,2.7694,46.7
E1,G3,2,3.62096,43.21
E1,G3,3,2.2754,47.75
E1,G4,1,2.3595,47.93
E1,G4,2,3.0242,47.95
E1,G4,3,2.382,49
E1,G5,1,2.28856,49
E1,G5,2,2.1157,51
E1,G5,3,2.16052,49.65
E1,G6,1,2.5223,48.6
E1,G6,2,2.1861,47.75
E1,G6,3,2.194,48.4
E1,G7,1,2.5921,46.9
E1,G7,3,2.90364,48.15
E1,G8,1,2.92584,47.55
E1,G8,2,2.88148,47.75
E1,G8,3,2.89076,48.6
E1,G9,1,2.75992,50.3
E1,G9,2,2.21086,46.7
E1,G9,3,2.007,46.05
E1,G10,1,2.17908,47.3
E1,G10,2,1.26688,44.64
E1,G10,3,2.47626,48.8
E2,G1,1,3.04073,40.41
E2,G1,2,3.15697,43.02
E2,G1,3,2.92437,44.29
E2,G2,1,2.78412,41.43
E2,G2,2,3.67695,42.69
E2,G2,3,3.23209,46.25
E2,G3,1,3.39484,40.7
E2,G3,2,3.876,41.81
E2,G3,3,3.554,44.44
E2,G4,1,3.17862,41.29
E2,G4,2,3.36844,43.02
E2,G4,3,3.02318,47
E2,G5,2,3.41821,46
E2,G5,3,2.9312,48.6
E2,G6,1,3.15453,45.19
E2,G6,2,3.495,45.48
E2,G6,3,3.22399,48.15
E2,G7,1,1.243,46.25
E2,G7,2,2.89791,46.05
E2,G7,3,3.69712,43.38
E2,G8,1,3.211,45.65
E2,G8,2,3.197,47.1
E2,G8,3,3.92639,43.85
E2,G9,1,2.65963,40.71
E2,G9,2,3.20378,39.67
E2,G9,3,3.42118,39.7
E2,G10,1,3.019,45.5
E2,G10,2,3.22442,46.05
E2,G10,3,3.1941,43.88
E3,G1,1,4.11,52
E3,G1,2,3.663,50
E3,G1,3,4.468,50
E3,G2,1,4.614,49
E3,G2,2,4.32,55
E3,G2,3,4.772,50
E3,G3,1,4.511,50
E3,G3,2,3.916,51
E3,G3,3,3.97,52
E3,G4,1,4.349,52
E3,G4,2,3.437,54
E3,G4,3,3.777,54
E3,G5,1,4.179,53
E3,G5,2,4.008,54
E3,G5,3,3.037,55
E3,G6,1,4.057,54
E3,G6,2,3.161,55
E3,G6,3,3.086,52
E3,G7,1,4.58,53
E3,G7,3,4.006,53
E3,G8,1,4.347,53
E3,G8,2,4.544,53
E3,G8,3,3.439,49
E3,G9,1,4.407,55
E3,G9,2,4.634,56
E3,G9,3,4.477,51
E3,G10,1,4.002,57
E3,G10,2,3.597,55
E3,G10,3,4.744,55
E4,G1,1,3.543,48
E4,G1,2,3.826,48
E4,G1,3,3.114,47
E4,G2,1,3.64872,45
E4,G2,2,4.049,48
E4,G2,3,3.449,48
E4,G3,1,4.457,50
E4,G3,2,4.166,49
E4,G3,3,3.779,50
E4,G4,1,3.55958,49
E4,G4,2,3.44592,50
E4,G4,3,2.901,51
E4,G5,1,3.47294,52
E4,G5,2,3.1594,53
E4,G5,3,3.505,50
E4,G6,1,2.98082,50
E4,G6,2,3.977,52
E4,G6,3,3.2526,52
E4,G7,1,3.391,48
