"GID","BLUEs","BLUE_lmm","BLUPs"
"G1",2.60367618164275,2.60367618164275,2.61729824529666
"G10",2.4712208729999,2.74414697530942,2.51006144448658
"G2",2.74414697530942,2.95534410933323,2.73102444226385
"G3",2.95534410933323,2.64191544090466,2.90201120923472
"G4",2.64191544090466,2.53652690369259,2.64825703336344
"G5",2.53652690369259,2.54639409893752,2.56440911263191
"G6",2.54639409893752,2.74516453473107,2.5706161429052
"G7",2.74516453473107,2.99365111584578,2.73431053862262
"G8",2.99365111584578,2.51019186066657,2.93263340754622
"G9",2.51019186066657,2.4712208729999,2.54161264529991
