"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",2.60367618164275,0.234113966714845,14.8470172434441,11.1214047507643,1.34966103483993e-08
"GENG10",-0.132455308642852,0.0885837536641212,392.000098513784,-1.49525509096257,0.135652462792028
"GENG2",0.140470793666671,0.0885837536641212,392.000098513719,1.58573991117251,0.11360463839496
"GENG3",0.351667927690481,0.0885837536641212,392.000098509551,3.9698919174715,8.55347242136732e-05
"GENG4",0.03823925926191,0.0885837536641212,392.000098513719,0.431673503099677,0.666216047495271
"GENG5",-0.067149277950168,0.0891397154996387,392.002544554853,-0.753303705018446,0.451719614950563
"GENG6",-0.0572820827052379,0.0891397154996387,392.002544564814,-0.642610113619558,0.52085278025522
"GENG7",0.141488353088319,0.0897178111905819,392.004770005358,1.57703750471314,0.115593509539714
"GENG8",0.389974934203025,0.0891397154996387,392.002544569798,4.37487299591624,1.55962273258682e-05
"GENG9",-0.0934843209761859,0.0885837536641211,392.000098512114,-1.05532128758786,0.291928386305579
