"","Taxa","Yield","Protein","Oil","Seedsize","Height","Maturity"
"2","DS11-02003",4457.044866,38.6469897,21.96572356,16.53544963,104.0779955,1000.294109
"4","DS11-02005",4979.8782,39.2969897,21.49905689,18.83544963,110.3779955,998.4854302
"5","DS11-02006",4706.294866,37.7469897,21.73239023,17.3521163,105.3779955,995.0854302
"6","DS11-02007",4902.6282,38.71365637,21.71572356,17.7521163,107.6779955,995.3854302
"8","DS11-02014",4383.794866,39.5969897,20.96572356,16.78544963,96.87799551,1002.627443
"10","DS11-02017",4552.961533,40.26365637,20.78239023,17.26878296,105.9779955,992.6854302
"11","DS11-02019",4823.544866,40.08032304,21.59905689,18.4021163,112.8779955,1003.294109
"13","DS11-02022",4745.544866,39.71365637,21.56572356,18.93544963,101.1779955,995.4854302
"14","DS11-02023",4959.3782,39.4469897,20.79905689,15.23544963,110.8779955,994.6854302
"15","DS11-02024",4606.1282,40.7469897,21.24905689,16.63544963,105.2779955,1002.516332
"16","DS11-02025",4466.1282,39.9469897,20.96572356,16.71878296,113.5779955,1005.071887
"17","DS11-02026",4909.794866,38.13032304,21.71572356,16.58544963,113.4779955,997.3854302
"18","DS11-02027",4906.961533,39.0469897,21.76572356,19.1021163,110.3779955,998.7854302
"19","DS11-02029",4716.794866,39.51365637,21.59905689,17.9521163,104.8779955,992.0854302
"20","DS11-02030",4660.8782,39.46365637,21.38239023,16.76878296,107.0779955,989.0854302
"21","DS11-02031",4658.044866,39.83032304,21.06572356,18.56878296,100.5779955,992.9854302
"22","DS11-02032",4500.461533,39.88032304,21.78239023,18.43544963,101.9779955,990.6854302
"23","DS11-02033",4764.044866,38.38032304,22.24905689,17.0021163,102.7779955,993.5854302
"24","DS11-02035",4633.961533,39.7469897,21.69905689,17.9021163,101.0779955,1000.071887
"25","DS11-02036",4500.044866,38.18032304,21.43239023,16.26878296,112.0779955,997.6854302
"26","DS11-02037",4611.711533,38.71365637,21.68239023,18.6521163,111.9779955,997.3854302
"27","DS11-02038",4730.294866,40.5469897,20.71572356,18.61878296,111.7779955,995.1854302
"29","DS11-02040",5048.544866,40.06365637,20.99905689,17.3521163,113.5779955,1005.627443
"30","DS11-02042",4669.211533,38.83032304,21.26572356,17.4521163,98.47799551,991.2854302
"31","DS11-02043",4899.6282,39.5969897,21.58239023,16.9021163,106.5779955,994.6854302
"32","DS11-02044",4946.1282,38.91365637,22.23239023,19.8021163,110.8779955,1002.294109
"35","DS11-02047",5222.754235,39.2469897,21.06572356,18.2021163,107.8617959,1015.475567
"36","DS11-02049",5523.532013,39.76365637,21.13239023,19.23544963,103.2367959,1013.600567
